iter	Passed	Remaining
0	171	171826
1	176	88286
2	181	60176
3	185	46163
4	189	37762
5	193	32134
6	197	28082
7	202	25074
8	206	22779
9	211	20924
10	215	19354
11	219	18071
12	224	17043
13	228	16126
14	233	15306
15	237	14625
16	242	14024
17	246	13464
18	251	12984
19	256	12580
20	260	12160
21	264	11761
22	269	11449
23	273	11124
24	277	10810
25	281	10553
26	285	10288
27	288	10030
28	292	9800
29	296	9595
30	300	9396
31	304	9202
32	309	9062
33	313	8901
34	317	8740
35	320	8588
36	325	8467
37	329	8348
38	333	8216
39	338	8123
40	342	8017
41	346	7914
42	351	7827
43	356	7743
44	360	7648
45	365	7570
46	371	7527
47	375	7449
48	380	7379
49	385	7321
50	390	7263
51	395	7205
52	400	7158
53	404	7094
54	409	7039
55	414	6989
56	418	6923
57	422	6866
58	426	6809
59	431	6759
60	435	6700
61	438	6640
62	443	6591
63	446	6535
64	450	6483
65	454	6428
66	458	6384
67	460	6317
68	465	6278
69	468	6230
70	473	6191
71	477	6149
72	480	6104
73	484	6061
74	488	6030
75	493	5997
76	496	5955
77	501	5924
78	506	5902
79	510	5872
80	514	5841
81	520	5828
82	524	5797
83	528	5759
84	531	5725
85	535	5694
86	538	5655
87	543	5628
88	548	5610
89	552	5583
90	556	5554
91	561	5544
92	566	5526
93	571	5504
94	575	5486
95	579	5457
96	582	5427
97	586	5398
98	591	5378
99	594	5352
100	598	5325
101	600	5284
102	604	5265
103	609	5249
104	613	5227
105	617	5205
106	621	5186
107	625	5164
108	629	5149
109	634	5135
110	639	5120
111	642	5097
112	647	5082
113	651	5064
114	655	5044
115	659	5025
116	663	5011
117	668	4999
118	672	4978
119	676	4957
120	681	4950
121	685	4936
122	688	4907
123	692	4889
124	696	4876
125	700	4861
126	704	4841
127	706	4813
128	710	4797
129	715	4787
130	719	4771
131	723	4756
132	728	4747
133	732	4737
134	736	4722
135	742	4715
136	746	4702
137	749	4684
138	755	4679
139	759	4667
140	763	4652
141	767	4637
142	772	4627
143	775	4611
144	779	4594
145	783	4583
146	787	4570
147	791	4554
148	794	4537
149	798	4524
150	802	4510
151	805	4494
152	808	4477
153	812	4463
154	816	4449
155	819	4433
156	822	4418
157	827	4409
158	830	4395
159	834	4380
160	837	4365
161	841	4352
162	845	4340
163	848	4326
164	851	4311
165	855	4299
166	859	4286
167	863	4275
168	867	4263
169	871	4252
170	874	4241
171	878	4227
172	883	4225
173	888	4216
174	891	4204
175	896	4195
176	899	4183
177	903	4173
178	908	4168
179	912	4158
180	914	4138
181	918	4127
182	922	4120
183	926	4110
184	931	4105
185	935	4095
186	940	4090
187	945	4083
188	949	4073
189	953	4064
190	957	4056
191	961	4047
192	966	4040
193	971	4035
194	974	4024
195	978	4014
196	982	4006
197	987	4001
198	992	3994
199	997	3990
200	1004	3992
201	1008	3984
202	1013	3980
203	1019	3978
204	1023	3968
205	1029	3966
206	1033	3959
207	1037	3950
208	1042	3944
209	1047	3938
210	1050	3929
211	1055	3923
212	1061	3920
213	1065	3911
214	1069	3903
215	1073	3897
216	1078	3890
217	1081	3879
218	1086	3873
219	1090	3867
220	1094	3857
221	1097	3846
222	1102	3842
223	1107	3836
224	1111	3828
225	1116	3822
226	1121	3817
227	1125	3809
228	1130	3807
229	1136	3806
230	1141	3800
231	1149	3805
232	1153	3798
233	1158	3790
234	1164	3790
235	1168	3783
236	1173	3776
237	1180	3780
238	1186	3777
239	1192	3774
240	1199	3776
241	1203	3770
242	1211	3773
243	1215	3765
244	1220	3760
245	1227	3762
246	1232	3757
247	1238	3755
248	1243	3749
249	1247	3741
250	1252	3737
251	1257	3732
252	1263	3730
253	1271	3733
254	1275	3726
255	1279	3719
256	1285	3715
257	1290	3710
258	1294	3702
259	1298	3696
260	1303	3689
261	1306	3680
262	1310	3673
263	1315	3667
264	1320	3661
265	1324	3655
266	1330	3653
267	1335	3648
268	1342	3648
269	1348	3647
270	1355	3645
271	1360	3640
272	1364	3634
273	1371	3632
274	1376	3628
275	1382	3626
276	1387	3621
277	1392	3616
278	1396	3609
279	1402	3606
280	1407	3601
281	1411	3595
282	1417	3590
283	1421	3583
284	1426	3577
285	1431	3573
286	1435	3566
287	1440	3561
288	1445	3557
289	1450	3551
290	1454	3544
291	1459	3538
292	1464	3533
293	1468	3526
294	1473	3522
295	1478	3515
296	1482	3509
297	1486	3502
298	1492	3497
299	1498	3495
300	1502	3489
301	1507	3484
302	1512	3478
303	1516	3472
304	1521	3466
305	1525	3459
306	1529	3453
307	1534	3447
308	1540	3445
309	1545	3439
310	1553	3441
311	1558	3436
312	1563	3430
313	1568	3426
314	1572	3419
315	1579	3419
316	1585	3415
317	1589	3408
318	1595	3405
319	1599	3399
320	1604	3392
321	1608	3387
322	1613	3380
323	1617	3374
324	1621	3367
325	1628	3366
326	1632	3360
327	1639	3358
328	1644	3354
329	1649	3349
330	1656	3347
331	1661	3342
332	1666	3337
333	1671	3333
334	1675	3326
335	1680	3320
336	1685	3316
337	1690	3310
338	1694	3303
339	1699	3298
340	1703	3292
341	1707	3285
342	1712	3280
343	1717	3275
344	1723	3271
345	1728	3267
346	1733	3261
347	1737	3255
348	1741	3249
349	1746	3243
350	1751	3237
351	1755	3230
352	1759	3225
353	1763	3218
354	1768	3212
355	1772	3206
356	1777	3201
357	1781	3195
358	1786	3190
359	1791	3185
360	1796	3179
361	1801	3174
362	1805	3167
363	1809	3161
364	1812	3154
365	1817	3148
366	1821	3142
367	1826	3137
368	1832	3133
369	1837	3127
370	1841	3121
371	1847	3118
372	1851	3112
373	1855	3105
374	1858	3098
375	1863	3093
376	1867	3086
377	1871	3079
378	1876	3074
379	1881	3069
380	1885	3063
381	1890	3058
382	1894	3052
383	1899	3047
384	1904	3041
385	1910	3038
386	1914	3032
387	1919	3027
388	1924	3022
389	1929	3017
390	1933	3011
391	1938	3006
392	1941	2999
393	1945	2992
394	1949	2986
395	1953	2979
396	1957	2973
397	1961	2967
398	1965	2961
399	1969	2954
400	1973	2947
401	1977	2941
402	1982	2936
403	1986	2930
404	1990	2924
405	1995	2919
406	1999	2913
407	2003	2906
408	2007	2900
409	2011	2893
410	2014	2887
411	2018	2880
412	2021	2873
413	2026	2867
414	2029	2861
415	2033	2854
416	2037	2848
417	2041	2841
418	2045	2836
419	2049	2830
420	2053	2824
421	2058	2819
422	2062	2813
423	2067	2808
424	2072	2803
425	2076	2797
426	2081	2792
427	2086	2788
428	2091	2783
429	2095	2777
430	2098	2770
431	2102	2764
432	2106	2758
433	2110	2752
434	2113	2745
435	2118	2739
436	2122	2733
437	2125	2727
438	2129	2721
439	2133	2715
440	2137	2710
441	2141	2703
442	2147	2699
443	2151	2694
444	2156	2689
445	2160	2684
446	2165	2678
447	2169	2673
448	2173	2667
449	2177	2661
450	2181	2655
451	2185	2649
452	2189	2643
453	2193	2638
454	2197	2631
455	2200	2625
456	2205	2620
457	2209	2614
458	2213	2608
459	2216	2602
460	2221	2596
461	2225	2591
462	2230	2586
463	2233	2580
464	2238	2575
465	2242	2569
466	2247	2564
467	2251	2559
468	2255	2553
469	2259	2548
470	2263	2542
471	2267	2536
472	2271	2530
473	2275	2525
474	2279	2519
475	2283	2514
476	2289	2509
477	2293	2504
478	2298	2499
479	2302	2494
480	2305	2487
481	2309	2482
482	2314	2477
483	2318	2471
484	2322	2465
485	2326	2460
486	2331	2456
487	2335	2450
488	2339	2444
489	2344	2440
490	2348	2434
491	2352	2428
492	2356	2423
493	2360	2418
494	2364	2412
495	2368	2406
496	2373	2401
497	2376	2395
498	2380	2389
499	2383	2383
500	2388	2378
501	2391	2372
502	2395	2366
503	2399	2361
504	2403	2355
505	2407	2350
506	2410	2344
507	2415	2339
508	2419	2334
509	2423	2328
510	2427	2322
511	2432	2318
512	2436	2312
513	2440	2307
514	2445	2302
515	2448	2297
516	2453	2292
517	2457	2286
518	2461	2281
519	2465	2276
520	2469	2270
521	2473	2265
522	2477	2259
523	2481	2253
524	2485	2248
525	2489	2243
526	2493	2238
527	2497	2232
528	2502	2228
529	2506	2222
530	2510	2217
531	2514	2212
532	2518	2206
533	2522	2201
534	2527	2196
535	2532	2192
536	2536	2187
537	2541	2182
538	2545	2176
539	2550	2172
540	2555	2168
541	2559	2162
542	2564	2158
543	2569	2154
544	2574	2149
545	2578	2144
546	2583	2139
547	2587	2134
548	2592	2129
549	2596	2124
550	2600	2119
551	2604	2113
552	2609	2108
553	2613	2103
554	2617	2098
555	2621	2093
556	2626	2088
557	2630	2083
558	2634	2078
559	2639	2073
560	2643	2068
561	2646	2062
562	2651	2058
563	2656	2053
564	2660	2048
565	2664	2043
566	2669	2038
567	2673	2033
568	2678	2028
569	2683	2024
570	2687	2019
571	2691	2014
572	2696	2009
573	2700	2004
574	2704	1999
575	2709	1994
576	2713	1989
577	2718	1984
578	2722	1979
579	2727	1975
580	2731	1970
581	2735	1964
582	2741	1960
583	2745	1955
584	2749	1950
585	2754	1946
586	2758	1941
587	2763	1936
588	2768	1931
589	2773	1927
590	2778	1922
591	2782	1917
592	2787	1913
593	2792	1908
594	2797	1904
595	2801	1899
596	2806	1894
597	2810	1889
598	2814	1884
599	2819	1879
600	2824	1874
601	2828	1870
602	2833	1865
603	2837	1860
